raceId,driverId,stop,lap,duration,milliseconds
851,4,1,12,549:15:50,22886
851,3,1,12,498:24:29,20767
851,155,1,12,569:24:00,23725
851,67,1,12,536:22:34,22349
851,5,1,12,546:31:41,22772
851,16,1,12,525:38:53,21902
851,815,1,12,533:09:36,22215
851,24,1,12,567:11:31,23633
851,30,1,13,526:45:07,21948
851,153,1,13,569:36:58,23734
851,15,1,13,554:49:55,23118
851,817,1,13,548:15:22,22844
851,813,2,16,316:27:50,13186
851,2,2,23,610:24:58,25434
851,22,2,24,533:12:29,22217
851,153,2,24,541:14:53,22552
851,5,2,24,531:31:41,22147
851,815,2,24,493:40:48,20570
851,17,2,25,480:00:00,20000
851,4,2,25,556:59:31,23208
851,13,2,25,507:18:43,21138
851,808,2,25,580:39:22,24194
851,67,2,25,515:02:24,21460
851,1,2,26,499:16:19,20803
851,30,2,26,481:42:14,20071
851,24,2,25,540:01:26,22501
851,16,2,26,494:08:10,20589
851,18,2,27,505:33:36,21065
851,3,2,27,478:32:10,19939
851,814,2,27,499:13:26,20801
851,20,2,28,494:39:50,20611
851,813,3,28,514:13:26,21426
851,10,2,28,494:42:43,20613
851,817,2,28,565:30:43,23563
851,816,2,29,501:59:02,20916
851,815,3,32,316:49:26,13201
851,155,2,34,548:26:53,22852
851,4,3,36,478:27:50,19936
851,22,3,37,493:55:12,20580
851,17,3,39,496:09:07,20673
851,24,3,37,668:08:10,27839
851,1,3,40,500:39:50,20861
851,13,3,40,538:52:19,22453
851,20,3,41,471:56:10,19664
851,18,3,42,481:06:14,20046
851,814,3,42,502:26:24,20935
851,67,3,43,488:38:24,20360
851,5,3,43,503:45:36,20990
851,815,4,44,502:00:29,20917
851,817,3,43,519:37:26,21651
851,4,4,47,483:01:26,20126
851,153,3,47,512:16:48,21345
851,816,3,47,1196:22:34,49849
851,3,3,50,493:30:43,20563
851,17,4,51,506:55:41,21122
851,808,3,50,512:28:19,21353
851,22,4,50,756:56:10,31539
851,5,4,49,536:44:10,22364
851,16,3,50,523:06:14,21796
851,24,4,48,552:14:24,23010
851,813,4,50,552:23:02,23016
